x,y,,dx,dy,d
190839.37820089,552835.310486713,,,,
190833.359596442,552839.748934138,,-6.01860444818158,4.43844742479268,7.47819597538871
190828.634924192,552843.25647777,,-4.72467224975117,3.50754363206215,5.88433430375846
190823.823828391,552846.817042601,,-4.81109580147313,3.56056483159773,5.98533747845207
190819.951973043,552849.68145139,,-3.87185534808668,2.86440878862049,4.81623312816498
190814.624997755,552853.582351242,,-5.32697528792778,3.9008998523932,6.60255142930326
190810.70232097,552856.450908101,,-3.92267678532517,2.86855685850605,4.85963081031997
190803.796253166,552861.308168121,,-6.90606780376402,4.85726001986768,8.44314795623001
190799.192208022,552864.546341317,,-4.60404514410766,3.23817319609225,5.62876516981048
190794.588162916,552867.784514374,,-4.60404510528315,3.23817305732518,5.62876505822267
190789.984117859,552871.022687304,,-4.60404505746556,3.23817292985041,5.62876494577531
190785.380072845,552874.260860093,,-4.60404501418816,3.23817278956994,5.62876482967463
190778.900102022,552878.932008948,,-6.47997082266375,4.67114885430783,7.98809448377239
190773.138147837,552883.139120288,,-5.761954185582,4.2071113397833,7.13441671491644
190768.327464305,552886.726813681,,-4.81068353154114,3.58769339357968,6.00118487692027
190763.516778881,552890.314507834,,-4.81068542416324,3.58769415249117,6.00118684778902
190758.706095354,552893.902201895,,-4.81068352633156,3.58769406122155,6.00118527188107
190753.895411904,552897.489896744,,-4.81068345016683,3.58769484923687,6.00118568192568
190749.084726633,552901.077589493,,-4.81068527180469,3.58769274922088,6.00118588673694
190744.2740414,552904.66528209,,-4.81068523263093,3.58769259636756,6.00118576395398
190739.463358117,552908.252974587,,-4.81068328311085,3.5876924978802,6.00118414229625
190733.551623233,552908.402273483,,-5.91173488416825,0.149298895034008,5.91361983059025
190729.985967982,552911.148153384,,-3.56565525045153,2.74587990145665,4.50041706937214
190725.231761151,552914.809327435,,-4.75420683092671,3.66117405111436,6.00055647617646
190721.666106403,552917.555208103,,-3.56565474814852,2.74588066828437,4.50041713927186
190718.760664475,552919.774036011,,-2.90544192760717,2.21882790757809,3.65578857131331
190714.27806028,552923.188802286,,-4.48260419574217,3.41476627485827,5.63510151528743
190712.036758198,552924.896185353,,-2.24130208147108,1.70738306734711,2.81755070212946
190707.554154057,552928.310951432,,-4.4826041412307,3.41476607869845,5.63510135305552
190703.071549951,552931.72571735,,-4.48260410639341,3.41476591792889,5.63510122791985
190700.830247908,552933.433100275,,-2.24130204238463,1.70738292497117,2.81755058475986
190696.347643852,552936.847865999,,-4.48260405636393,3.41476572467946,5.63510107101691
190691.86503983,552940.26263159,,-4.48260402149754,3.41476559010334,5.63510096173083
190686.458655691,552944.291196174,,-5.40638413932174,4.02856458479073,6.74227870053885
190680.604718225,552948.622992279,,-5.85393746613408,4.33179610443767,7.28237882479549
190675.100078738,552952.697309639,,-5.50463948663673,4.07431735983118,6.84843907956127
190667.877476973,552958.035908717,,-7.22260176538839,5.33859907835722,8.98145959078078
190660.654875398,552963.374508401,,-7.22260157455457,5.33859968360048,8.98145979707627
190655.011983725,552967.492607597,,-5.64289167331299,4.11809919611551,6.98576892158567
190647.726882013,552972.718697184,,-7.28510171218659,5.22608958731871,8.96575258032392
190639.493331778,552978.695478348,,-8.2335502349888,5.97678116348106,10.1741467724928
190631.785069661,552988.66010311,,-7.70826211653184,9.96462476265151,12.598057450163
190624.512864724,552993.85725038,,-7.27220493694767,5.19714726984967,8.93841733135525
190617.067252887,552999.34293753,,-7.44561183697078,5.48568714992143,9.24823762311785
190601.646534615,553010.91073359,,-15.4207182720129,11.5677960596513,19.2772523379883
190592.4741011,553017.798486742,,-9.17243351554498,6.88775315205567,11.4706006852625
190585.244411328,553023.173917706,,-7.22968977189157,5.37543096428271,9.0090883140062
190578.927409217,553027.919916075,,-6.3170021114056,4.74599836906418,7.9012034649579
190571.08078668,553033.744089224,,-7.84662253619172,5.82417314872146,9.771922947494
190563.521262242,553039.380413471,,-7.55952443814022,5.63632424699608,9.42945177346568
190556.3514483,553044.848767949,,-7.16981394216418,5.46835447812919,9.01715768209292
190547.855688809,553047.336010336,,-8.49575949061546,2.48724238667637,8.85236149354861
190540.565482115,553052.821897887,,-7.29020669395686,5.48588755098172,9.12370954506058
190534.374588455,553057.465918549,,-6.19089366059052,4.64402066264302,7.73912735596173
190528.051046344,553062.179571535,,-6.32354211129132,4.71365298563615,7.88705961067058
190523.023706181,553069.976715648,,-5.02734016216709,7.79714411357418,9.27737060992945
190516.317816127,553070.661948252,,-6.70589005475631,0.685232604038902,6.74080893870443
190504.153842283,553082.009387902,,-12.1639738436206,11.3474396497477,16.6351028332545
190499.465608147,553086.800911879,,-4.68823413577047,4.79152397729922,6.70359913306552
190487.686559565,553095.213008694,,-11.7790485820442,8.41209681448527,14.4744381001278
190482.974940209,553098.577847174,,-4.71161935658893,3.36483848001808,5.78977503518002
190475.907511258,553103.625104633,,-7.06742895036587,5.04725745937321,8.68466233250713
190468.7301723,553108.830767409,,-7.17733895871788,5.20566277590115,8.86640397594946
190462.380480348,553113.559502894,,-6.34969195150188,4.72873548511416,7.91704030349383
190446.465831032,553125.403836521,,-15.9146493161679,11.8443336266791,19.8384551292858
190438.024399393,553131.660047436,,-8.44143163913395,6.25621091481298,10.5070425491095
190429.561336536,553137.887059521,,-8.46306285678293,6.22701208468061,10.507098192204
190421.993130962,553143.466708567,,-7.56820557417814,5.57964904617984,9.40267084883634
190413.020711745,553150.121587213,,-8.97241921685054,6.65487864671741,11.1710212785333
190405.04021137,553156.021995828,,-7.98050037477515,5.90040861454327,9.92487823856609
190396.608422312,553162.272846075,,-8.43178905799869,6.25085024663713,10.4961038259189
190387.219813112,553169.231322276,,-9.38860920042498,6.95847620128188,11.6861616351183
190381.490199913,553173.479376386,,-5.72961319898604,4.24805411044508,7.13263143133475
190373.616828021,553179.321649775,,-7.87337189211394,5.84227338887285,9.80419008903141
190366.590748873,553184.559939492,,-7.02607914729742,5.2382897164207,8.76387285035825
190359.56466982,553189.79822888,,-7.02607905300101,5.23828938871156,8.76387257888359
190354.880617163,553193.290421635,,-4.68405265780166,3.49219275463838,5.84258158151066
190343.170485701,553202.020902876,,-11.7101314614993,8.73048124124762,14.6064534213262
190331.460354478,553210.751383236,,-11.7101312233426,8.7304803597508,14.6064527035108
190326.77630206,553214.243575121,,-4.68405241746223,3.49219188524876,5.84258086918196
190319.750223504,553219.48186269,,-7.02607855646056,5.23828756832518,8.76387109273208
190312.47648595,553224.91601945,,-7.27373755371082,5.43415676057339,9.07949985950484
190303.381442444,553231.692567942,,-9.09504350600764,6.77654849144165,11.3420203593995
190295.096798451,553237.84472834,,-8.28464399289805,6.15216039842926,10.3191280473237
190284.516013976,553245.699789913,,-10.5807844747033,7.85506157309283,13.1778219906478
190273.628422434,553253.777817611,,-10.887591542647,8.07802769809496,13.5570712578605
190260.371686735,553263.6127185,,-13.2567356987856,9.83490088884719,16.5065537554301
190245.342443613,553274.7707151,,-15.0292431222042,11.1579966003774,18.718414381575
190212.306283913,553299.235829823,,-33.0361596996081,24.4651147222612,41.1087543726566
190193.016777746,553313.522781232,,-19.2895061668823,14.2869514093036,24.0042085629582
190171.116422007,553329.71944246,,-21.9003557392862,16.1966612279648,27.2388952867172
190147.192932771,553347.400608416,,-23.9234892364766,17.6811659558443,29.7482262799973
